Fig7 - Bending;;;;;
Panel + nonlinear;;Euler + Nonlinear;;Euler + Linear;
x;y;x;y;x;y
-0.035242291;0.004191617;-0.026431718;0.007784431;-0.017621145;0.004191617
0.634361233;0.011377246;0.731277533;0.01497006;0.374317764;0.003157919
1.215859031;0.032934132;1.674008811;0.068862275;1.184264217;0.029857487
1.851136297;0.096606409;2.537444934;0.147904192;1.832948877;0.074356769
2.440408717;0.157422093;3.415254449;0.267186987;2.651382794;0.149758328
2.833256997;0.201786528;3.985126954;0.351241185;3.142443143;0.207854612
3.233380245;0.255050819;4.397375149;0.415517924;3.863877485;0.311686268
3.633503493;0.3123605;4.94299776;0.504516487;4.348875361;0.385851737
4.033626742;0.376412496;5.415870689;0.593515049;4.736873662;0.445184112
4.43374999;0.44450988;5.906931039;0.686221885;5.279465037;0.541599221
4.833873238;0.52339497;6.397991389;0.791289632;5.524995212;0.578681956
5.233996486;0.604976985;6.90723916;0.896110162;6.08274277;0.70229107
5.634119734;0.689255927;7.380112089;1.001425127;6.588959303;0.793761815
6.034242982;0.777580258;7.852985019;1.10631629;7.076988416;0.909954382
6.43436623;0.867253052;8.344045369;1.227629807;7.489236611;0.986592033
6.834489478;0.964342393;8.835105719;1.34364579;8.107608904;1.134922971
7.234612726;1.063454428;9.307978648;1.461251033;8.544106993;1.23133808
7.634735974;1.16526339;9.799038998;1.582696988;8.944230241;1.320336642
8.034859222;1.270443509;10.27191193;1.70599708;9.508040272;1.46866758
8.43498247;1.374949397;10.76297228;1.838258832;10.08094401;1.616998517
8.835105719;1.483500674;11.25403263;1.96557622;10.54472323;1.72824672
9.235228967;1.59205195;11.72690556;2.091657517;11.13884563;1.888938569
9.635352215;1.704648616;12.21796591;2.222683178;11.65415588;2.010075501
10.03547546;1.817919514;12.71162446;2.357593697;12.12702881;2.134302661
10.43559871;1.934561569;13.18189919;2.484734501;12.63263909;2.266688023
10.83572196;2.049855162;13.65217391;2.610815798;13.03639982;2.380902845
11.23584521;2.16784568;14.14583247;2.746785823;13.6365847;2.521817235
11.63596846;2.283813504;14.63689282;2.878738553;14.13370752;2.655315079
12.0360917;2.399781328;15.10976575;3.007601055;14.90061041;2.844437024
12.43621495;2.517771846;15.52807641;3.115140985;15.28557748;2.961865683
12.8363382;2.635762364;;;15.74632546;3.065697339
13.23646145;2.755101346;;;;
13.6365847;2.876463022;;;;
14.03670794;2.995802003;;;;
14.43683119;3.114466753;;;;
14.83695444;3.233805734;;;;
15.23707769;3.352470484;;;;
15.52807641;3.437019119;;;;
